"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1051","TS01 - browse books across pages","chromium","2026-06-22","passed","2026-06-22","Books to Scrape","","",""
"","379","TS03 - update and delete a booking with auth","chromium","2026-06-22","passed","2026-06-22","Restful Booker API","","",""
"","5222","TS01 - invalid credentials show an error","chromium","2026-06-22","passed","2026-06-22","OrangeHRM","","",""
"","626","TS01 - locked out user sees error message","mobile-chrome","2026-06-22","passed","2026-06-22","SauceDemo - login","","",""
"","7492","TS01 - search shows the matching article","webkit","2026-06-22","passed","2026-06-22","Wikipedia","","",""
"","45","TS01 - health check responds","webkit","2026-06-22","passed","2026-06-22","Restful Booker API","","",""
"","201","TS02 - server error returns status 500","chromium","2026-06-22","passed","2026-06-22","Books to Scrape - mocked responses","","",""
"","155","TS02 - create and read a booking","chromium","2026-06-22","passed","2026-06-22","Restful Booker API","","",""
"","8270","TS01 - invalid credentials show an error","webkit","2026-06-22","passed","2026-06-22","OrangeHRM","","",""
"","59","TS01 - health check responds","firefox","2026-06-22","passed","2026-06-22","Restful Booker API","","",""
"","5833","TS01 - invalid credentials show an error","firefox","2026-06-22","passed","2026-06-22","OrangeHRM","","",""
"","1639","TS02 - standard user can log in","webkit","2026-06-22","passed","2026-06-22","SauceDemo - login","","",""
"","802","TS02 - standard user can log in","chromium","2026-06-22","passed","2026-06-22","SauceDemo - login","","",""
"","1121","TS05 - full checkout completes an order","chromium","2026-06-22","passed","2026-06-22","SauceDemo - shopping","","",""
"","1121","TS01 - locked out user sees error message","webkit","2026-06-22","passed","2026-06-22","SauceDemo - login","","",""
"","294","TS01 - health check responds","chromium","2026-06-22","passed","2026-06-22","Restful Booker API","","",""
"","1436","TS01 - search shows the matching article","chromium","2026-06-22","passed","2026-06-22","Wikipedia","","",""
"","665","TS01 - browse books across pages","mobile-chrome","2026-06-22","passed","2026-06-22","Books to Scrape","","",""
"","775","TS04 - checkout requires a first name","chromium","2026-06-22","passed","2026-06-22","SauceDemo - shopping","","",""
"","1014","TS01 - empty catalogue page shows no books","chromium","2026-06-22","passed","2026-06-22","Books to Scrape - mocked responses","","",""
"","32","TS02 - create and read a booking","firefox","2026-06-22","passed","2026-06-22","Restful Booker API","","",""
"","940","TS02 - standard user can log in","firefox","2026-06-22","passed","2026-06-22","SauceDemo - login","","",""
"","1326","TS - saucedemo login has no critical violations","chromium","2026-06-22","passed","2026-06-22","Accessibility scans","","",""
"","0","TS01 - home page matches baseline","chromium","2026-06-22","skipped","2026-06-22","Books to Scrape - visual","","",""
"","2879","TS - bookstoscrape home has no critical violations","chromium","2026-06-22","passed","2026-06-22","Accessibility scans","","",""
"","2343","TS05 - full checkout completes an order","webkit","2026-06-22","passed","2026-06-22","SauceDemo - shopping","","",""
"","1419","TS05 - full checkout completes an order","firefox","2026-06-22","passed","2026-06-22","SauceDemo - shopping","","",""
"","1968","TS01 - locked out user sees error message","firefox","2026-06-22","passed","2026-06-22","SauceDemo - login","","",""
"","20","TS02 - create and read a booking","webkit","2026-06-22","passed","2026-06-22","Restful Booker API","","",""
"","671","TS02 - standard user can log in","mobile-chrome","2026-06-22","passed","2026-06-22","SauceDemo - login","","",""
"","7875","TS02 - admin can view the employee list","chromium","2026-06-22","passed","2026-06-22","OrangeHRM","","",""
"","1555","TS01 - search shows the matching article","firefox","2026-06-22","passed","2026-06-22","Wikipedia","","",""
"","560","TS01 - locked out user sees error message","chromium","2026-06-22","passed","2026-06-22","SauceDemo - login","","",""
"","664","TS03 - adding and removing an item updates the cart badge","chromium","2026-06-22","passed","2026-06-22","SauceDemo - shopping","","",""
"","655","authenticate saucedemo standard user","setup","2026-06-22","passed","2026-06-22","","","",""
"","7454","TS02 - admin can view the employee list","firefox","2026-06-22","passed","2026-06-22","OrangeHRM","","",""
"","5720","TS01 - browse books across pages","webkit","2026-06-22","passed","2026-06-22","Books to Scrape","","",""
"","7317","TS01 - employee count in UI matches the API","chromium","2026-06-22","passed","2026-06-22","OrangeHRM - hybrid API + UI","","",""
"","9031","TS02 - admin can view the employee list","webkit","2026-06-22","passed","2026-06-22","OrangeHRM","","",""
"","2631","TS01 - browse books across pages","firefox","2026-06-22","passed","2026-06-22","Books to Scrape","","",""
